"id","x (m)","y (m)","z (m)","power","max_power","is_active","BR_Served","max_distance","supported_tech","connectedUsers","servedTraffic","BSType","RoutetoPoP","HopCount"
"0","153600.0","191330.0","14.0","1.0","40.0","true","1030.0","0.0","_5G_FWA","0","0.0","POP","","2147483647"
"1","154074.19952111767","191717.9575409815","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-151-47-62-89-1-","5"
"2","154162.87634426515","191324.6184352243","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-5-221-16-28-13-300-135-2-","8"
"3","153815.14267603788","191899.06983556412","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-151-47-82-229-176-3-","6"
"4","154057.3750384413","191732.83774435698","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-151-47-62-89-1-4-","6"
"5","153740.89918018744","191302.28710145192","4.0","1.0","40.0","true","1030.0","48.37565418315377","_5G_FWA","1","1030.0","EDGE","0-5-","1"
"6","153358.0279868083","191407.801496321","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"7","153733.06766291652","191517.2637593057","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-151-47-7-","3"
"8","154150.67215518162","191425.94746672324","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-5-221-16-108-252-8-","6"
"9","153975.4593108134","191503.49607538935","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-5-221-16-129-9-","5"
"10","153731.54383672212","191708.11447261658","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-5-206-289-41-251-10-","6"
"11","154154.96347961942","191632.62810876057","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-5-221-16-108-123-193-145-11-","8"
"12","153457.66569526945","191258.66383042015","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-12-","1"
"13","154157.09094018652","191358.08748673933","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-5-221-16-28-13-","5"
"14","153768.1799356103","191697.8951977015","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-5-206-289-41-251-14-","6"
"15","154249.68453624632","191450.38550899195","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-5-221-16-28-13-80-15-","7"
"16","153985.90290453442","191285.8895628215","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-5-221-16-","3"
