"id","x (m)","y (m)","z (m)","power","max_power","is_active","BR_Served","max_distance","supported_tech","connectedUsers","servedTraffic","BSType","RoutetoPoP","HopCount"
"0","153600.0","191330.0","14.0","1.0","40.0","true","1036.0","0.0","_5G_FWA","0","0.0","POP","","2147483647"
"1","153989.12314853305","191313.45881836241","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-83-31-51-1-","4"
"2","153357.96497170132","191407.77749685355","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"3","153834.20546668454","191449.10051341102","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-177-102-224-3-","4"
"4","153811.81329264786","191650.22503690442","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-270-108-4-","3"
"5","154094.47029278008","191531.68921199787","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-270-108-4-75-14-5-","6"
"6","153848.44748065976","191359.2440360727","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-83-31-41-6-","4"
"7","153769.46747860304","191591.2558195554","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-270-108-7-","3"
"8","153678.23510099784","191621.8576799038","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-177-102-169-282-8-","5"
"9","153794.60113877596","191713.58043993567","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-177-102-169-282-9-","5"
"10","154254.2144889204","191485.5337314579","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-83-31-51-135-44-87-211-10-","8"
"11","153804.23483067236","191389.0492167744","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-83-31-41-6-11-","5"
"12","154150.67624860478","191425.95204786275","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-83-31-51-135-44-12-","6"
"13","154170.35925921556","191775.10026142953","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-270-108-4-75-14-17-13-","7"
"14","154032.02485170242","191713.813704758","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-270-108-4-75-14-","5"
"15","153840.47602751156","191482.83811784984","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-270-108-54-243-15-","5"
"16","153194.46913532115","191241.789901776","2.25","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","","2147483647"
"17","154139.7723070255","191763.07638079138","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-270-108-4-75-14-17-","6"
"18","153680.51271918922","191326.27346851944","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-18-","1"
"19","154122.6897073238","191456.092808038","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-83-31-51-135-44-19-","6"
"20","154046.1826170282","191585.4095785765","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-270-108-4-186-20-","5"
"21","154150.88803400335","191738.52528082902","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-270-108-4-75-14-50-21-","7"
"22","153727.96130771935","191310.53531602022","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-22-","1"
"23","154260.34204424222","191247.70061474704","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-83-31-51-135-124-200-23-","7"
"24","153630.21010080443","191738.89730205544","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-177-102-155-194-275-24-","6"
"25","153657.69818878427","191281.8526622636","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-217-25-","2"
"26","153829.28743325727","191654.65840862523","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-270-108-4-26-","4"
"27","153657.5882246694","191337.6484807421","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-18-27-","2"
"28","153998.7361069667","191445.63836901204","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-83-31-41-201-184-28-","6"
"29","153638.34818747087","191507.11203277388","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-229-29-","2"
"30","154039.62829450695","191395.53604558445","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-83-31-51-62-30-","5"
"31","153813.5135167181","191273.21685483525","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-83-31-","2"
"32","153718.635631072","191383.16336875482","1.7999999999999998","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-177-102-32-","3"
"33","154117.37654859104","191462.41900152815","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-83-31-51-135-44-33-","6"
"34","153699.74478210014","191726.83552677857","4.0","0.0","40.0","false","0.0","","_5G_FWA","0","0.0","EDGE","0-177-102-169-53-265-34-","6"
