"NodeAid","NodeAType","NodeBid","NodeBType","distance","isLOS","pathLoss","maxPathLoss","bitrate","maxbitrate","isAssignable","sarDL","sarUL","status","amc","rbused"
"233","EDGE","319","EDGE","81.4151814111062","true","105.93045820455207","107.48026179472768","0.0","3850.0","true","0.0","0.0","INIT","12","0"
"319","EDGE","233","EDGE","81.4151814111062","true","105.93045820455207","107.48026179472768","0.0","3850.0","true","0.0","0.0","INIT","12","0"
"492","EDGE","531","EDGE","73.04644648750822","true","104.98833217679183","106.1802617947277","0.0","4620.0","true","0.0","0.0","INIT","13","0"
"531","EDGE","492","EDGE","73.04644648750822","true","104.98833217679183","106.1802617947277","0.0","4620.0","true","0.0","0.0","INIT","13","0"
"492","EDGE","569","EDGE","85.54893009773961","true","106.36064195590828","107.48026179472768","0.0","3850.0","true","0.0","0.0","INIT","12","0"
"569","EDGE","492","EDGE","85.54893009773961","true","106.36064195590828","107.48026179472768","0.0","3850.0","true","0.0","0.0","INIT","12","0"
"198","EDGE","270","EDGE","90.50826784401812","true","106.85011537428625","107.48026179472768","0.0","3850.0","true","0.0","0.0","INIT","12","0"
"270","EDGE","198","EDGE","90.50826784401812","true","106.85011537428625","107.48026179472768","0.0","3850.0","true","0.0","0.0","INIT","12","0"
"258","EDGE","317","EDGE","64.13865245885648","true","103.8587469310401","105.1802617947277","0.0","5005.0","true","0.0","0.0","INIT","14","0"
"317","EDGE","258","EDGE","64.13865245885648","true","103.8587469310401","105.1802617947277","0.0","5005.0","true","0.0","0.0","INIT","14","0"
"130","EDGE","359","EDGE","13.317547907236742","true","90.20483566115684","95.98026179472768","0.0","8085.0","true","0.0","0.0","INIT","20","0"
"359","EDGE","130","EDGE","13.317547907236742","true","90.20483566115684","95.98026179472768","0.0","8085.0","true","0.0","0.0","INIT","20","0"
"130","EDGE","372","EDGE","56.17402885579397","true","102.70706176648524","103.48026179472768","0.0","5390.0","true","0.0","0.0","INIT","15","0"
"372","EDGE","130","EDGE","56.17402885579397","true","102.70706176648524","103.48026179472768","0.0","5390.0","true","0.0","0.0","INIT","15","0"
"130","EDGE","441","EDGE","98.18855814513037","true","107.5575679593006","109.48026179472768","0.0","3080.0","true","0.0","0.0","INIT","11","0"
"441","EDGE","130","EDGE","98.18855814513037","true","107.5575679593006","109.48026179472768","0.0","3080.0","true","0.0","0.0","INIT","11","0"
"130","EDGE","254","EDGE","100.00390974619168","true","107.7166898957992","109.48026179472768","0.0","3080.0","true","0.0","0.0","INIT","11","0"
"254","EDGE","130","EDGE","100.00390974619168","true","107.7166898957992","109.48026179472768","0.0","3080.0","true","0.0","0.0","INIT","11","0"
"130","EDGE","266","EDGE","124.71522907475551","true","109.6347400813506","113.48026179472768","0.0","2503.0","true","0.0","0.0","INIT","9","0"
"266","EDGE","130","EDGE","124.71522907475551","true","109.6347400813506","113.48026179472768","0.0","2503.0","true","0.0","0.0","INIT","9","0"
"130","EDGE","493","EDGE","159.15007927294266","true","111.75248749179724","117.48026179472768","0.0","1348.0","true","0.0","0.0","INIT","5","0"
"493","EDGE","130","EDGE","159.15007927294266","true","111.75248749179724","117.48026179472768","0.0","1348.0","true","0.0","0.0","INIT","5","0"
"169","EDGE","387","EDGE","51.6601665104654","true","101.97946633925086","103.48026179472768","0.0","5390.0","true","0.0","0.0","INIT","15","0"
"387","EDGE","169","EDGE","51.6601665104654","true","101.97946633925086","103.48026179472768","0.0","5390.0","true","0.0","0.0","INIT","15","0"
"307","EDGE","458","EDGE","7.352104337396755","true","85.04458354044644","95.98026179472768","0.0","8085.0","true","0.0","0.0","INIT","20","0"
"458","EDGE","307","EDGE","7.352104337396755","true","85.04458354044644","95.98026179472768","0.0","8085.0","true","0.0","0.0","INIT","20","0"
"307","EDGE","365","EDGE","19.253990045888084","true","93.40676516526818","95.98026179472768","0.0","8085.0","true","0.0","0.0","INIT","20","0"
"365","EDGE","307","EDGE","19.253990045888084","true","93.40676516526818","95.98026179472768","0.0","8085.0","true","0.0","0.0","INIT","20","0"
"307","EDGE","469","EDGE","19.484203662160578","true","93.51000351549895","95.98026179472768","0.0","8085.0","true","0.0","0.0","INIT","20","0"
"469","EDGE","307","EDGE","19.484203662160578","true","93.51000351549895","95.98026179472768","0.0","8085.0","true","0.0","0.0","INIT","20","0"
"223","EDGE","394","EDGE","142.35182788707795","true","110.78361126886449","114.48026179472768","0.0","2310.0","true","0.0","0.0","INIT","8","0"
"394","EDGE","223","EDGE","142.35182788707795","true","110.78361126886449","114.48026179472768","0.0","2310.0","true","0.0","0.0","INIT","8","0"
"370","EDGE","404","EDGE","17.99970948628799","true","92.8216602199087","95.98026179472768","0.0","8085.0","true","0.0","0.0","INIT","20","0"
"404","EDGE","370","EDGE","17.99970948628799","true","92.8216602199087","95.98026179472768","0.0","8085.0","true","0.0","0.0","INIT","20","0"
"262","EDGE","522","EDGE","21.040157360492806","true","94.17732997832113","95.98026179472768","0.0","8085.0","true","0.0","0.0","INIT","20","0"
"522","EDGE","262","EDGE","21.040157360492806","true","94.17732997832113","95.98026179472768","0.0","8085.0","true","0.0","0.0","INIT","20","0"
"262","EDGE","388","EDGE","21.859355139502146","true","94.50909722472392","95.98026179472768","0.0","8085.0","true","0.0","0.0","INIT","20","0"
"388","EDGE","262","EDGE","21.859355139502146","true","94.50909722472392","95.98026179472768","0.0","8085.0","true","0.0","0.0","INIT","20","0"
"262","EDGE","309","EDGE","342.94424727874843","true","118.42082074977941","124.38026179472769","0.0","385.0","true","0.0","0.0","INIT","0","0"
"309","EDGE","262","EDGE","342.94424727874843","true","118.42082074977941","124.38026179472769","0.0","385.0","true","0.0","0.0","INIT","0","0"
"262","EDGE","463","EDGE","343.26371867551813","true","118.42890836645837","124.38026179472769","0.0","385.0","true","0.0","0.0","INIT","0","0"
"463","EDGE","262","EDGE","343.26371867551813","true","118.42890836645837","124.38026179472769","0.0","385.0","true","0.0","0.0","INIT","0","0"
"262","EDGE","462","EDGE","368.33147675715543","true","119.04112699107904","124.38026179472769","0.0","385.0","true","0.0","0.0","INIT","0","0"
"462","EDGE","262","EDGE","368.33147675715543","true","119.04112699107904","124.38026179472769","0.0","385.0","true","0.0","0.0","INIT","0","0"
"262","EDGE","496","EDGE","370.4943106058896","true","119.09198117105112","124.38026179472769","0.0","385.0","true","0.0","0.0","INIT","0","0"
"496","EDGE","262","EDGE","370.4943106058896","true","119.09198117105112","124.38026179472769","0.0","385.0","true","0.0","0.0","INIT","0","0"
"25","EDGE","472","EDGE","53.43718460289884","true","102.27322168191239","103.48026179472768","0.0","5390.0","true","0.0","0.0","INIT","15","0"
"472","EDGE","25","EDGE","53.43718460289884","true","102.27322168191239","103.48026179472768","0.0","5390.0","true","0.0","0.0","INIT","15","0"
"25","EDGE","60","EDGE","89.82075479578073","true","106.78388431166198","107.48026179472768","0.0","3850.0","true","0.0","0.0","INIT","12","0"
"60","EDGE","25","EDGE","89.82075479578073","true","106.78388431166198","107.48026179472768","0.0","3850.0","true","0.0","0.0","INIT","12","0"
"25","EDGE","66","EDGE","90.07813680116072","true","106.80873819707578","107.48026179472768","0.0","3850.0","true","0.0","0.0","INIT","12","0"
"66","EDGE","25","EDGE","90.07813680116072","true","106.80873819707578","107.48026179472768","0.0","3850.0","true","0.0","0.0","INIT","12","0"
"25","EDGE","194","EDGE","112.4738264333759","true","108.73737971371409","112.48026179472768","0.0","2695.0","true","0.0","0.0","INIT","10","0"
"194","EDGE","25","EDGE","112.4738264333759","true","108.73737971371409","112.48026179472768","0.0","2695.0","true","0.0","0.0","INIT","10","0"
"25","EDGE","269","EDGE","121.32096970774212","true","109.39506776479324","112.48026179472768","0.0","2695.0","true","0.0","0.0","INIT","10","0"
"269","EDGE","25","EDGE","121.32096970774212","true","109.39506776479324","112.48026179472768","0.0","2695.0","true","0.0","0.0","INIT","10","0"
"25","EDGE","382","EDGE","125.95760267078991","true","109.7208380300304","113.48026179472768","0.0","2503.0","true","0.0","0.0","INIT","9","0"
"382","EDGE","25","EDGE","125.95760267078991","true","109.7208380300304","113.48026179472768","0.0","2503.0","true","0.0","0.0","INIT","9","0"
"44","EDGE","354","EDGE","142.82478830784535","true","110.81242208680106","114.48026179472768","0.0","2310.0","true","0.0","0.0","INIT","8","0"
"354","EDGE","44","EDGE","142.82478830784535","true","110.81242208680106","114.48026179472768","0.0","2310.0","true","0.0","0.0","INIT","8","0"
"44","EDGE","594","EDGE","273.6359404777979","true","116.45981308280912","120.98026179472768","0.0","962.0","true","0.0","0.0","INIT","2","0"
"594","EDGE","44","EDGE","273.6359404777979","true","116.45981308280912","120.98026179472768","0.0","962.0","true","0.0","0.0","INIT","2","0"
"44","EDGE","105","EDGE","283.3880336305468","true","116.76398046098731","122.48026179472768","0.0","770.0","true","0.0","0.0","INIT","1","0"
"105","EDGE","44","EDGE","283.3880336305468","true","116.76398046098731","122.48026179472768","0.0","770.0","true","0.0","0.0","INIT","1","0"
"266","EDGE","359","EDGE","113.48160854653324","true","108.81485996780265","112.48026179472768","0.0","2695.0","true","0.0","0.0","INIT","10","0"
"359","EDGE","266","EDGE","113.48160854653324","true","108.81485996780265","112.48026179472768","0.0","2695.0","true","0.0","0.0","INIT","10","0"
