"NodeAid","NodeAType","NodeBid","NodeBType","distance","isLOS","pathLoss","maxPathLoss","bitrate","maxbitrate","isAssignable","sarDL","sarUL","status","amc","rbused"
"36","EDGE","8","EDGE","23.644111779027924","true","95.19081038292288","95.98026179472768","0.0","8085.0","true","0.0","0.0","INIT","20","0"
"8","EDGE","48","EDGE","51.664548157443846","true","101.98020301686441","103.48026179472768","0.0","5390.0","true","0.0","0.0","INIT","15","0"
"48","EDGE","8","EDGE","51.664548157443846","true","101.98020301686441","103.48026179472768","0.0","5390.0","true","0.0","0.0","INIT","15","0"
"0","PoP","17","EDGE","77.65677559940366","true","105.51993738953932","107.48026179472768","0.0","3850.0","true","0.0","0.0","INIT","12","0"
"17","EDGE","0","PoP","77.65677559940366","true","105.51993738953932","107.48026179472768","0.0","3850.0","true","0.0","0.0","INIT","12","0"
"0","PoP","12","EDGE","85.53598855004564","true","106.35932788502328","107.48026179472768","0.0","3850.0","true","0.0","0.0","INIT","12","0"
"12","EDGE","0","PoP","85.53598855004564","true","106.35932788502328","107.48026179472768","0.0","3850.0","true","0.0","0.0","INIT","12","0"
"0","PoP","38","EDGE","180.54708659825806","true","112.84816000255097","118.78026179472769","0.0","1252.0","true","0.0","0.0","INIT","4","0"
"38","EDGE","0","PoP","180.54708659825806","true","112.84816000255097","118.78026179472769","0.0","1252.0","true","0.0","0.0","INIT","4","0"
"0","PoP","14","EDGE","243.18871464465002","true","115.43521865231806","120.98026179472768","0.0","962.0","true","0.0","0.0","INIT","2","0"
"14","EDGE","0","PoP","243.18871464465002","true","115.43521865231806","120.98026179472768","0.0","962.0","true","0.0","0.0","INIT","2","0"
"0","PoP","30","EDGE","298.8431633236651","true","117.225216803568","122.48026179472768","0.0","770.0","true","0.0","0.0","INIT","1","0"
"30","EDGE","0","PoP","298.8431633236651","true","117.225216803568","122.48026179472768","0.0","770.0","true","0.0","0.0","INIT","1","0"
"0","PoP","49","EDGE","338.3014480185339","true","118.30242743991323","122.48026179472768","0.0","770.0","true","0.0","0.0","INIT","1","0"
"49","EDGE","0","PoP","338.3014480185339","true","118.30242743991323","122.48026179472768","0.0","770.0","true","0.0","0.0","INIT","1","0"
