"NodeAid","NodeAType","NodeBid","NodeBType","distance","isLOS","pathLoss","maxPathLoss","bitrate","maxbitrate","isAssignable","sarDL","sarUL","status","amc","rbused"
"0","CPE","9","EDGE","141.28360170408405","true","110.71818546069144","112.48026179472768","1036.0","2695.0","true","3.629519465957422E-6","0.031094352418370684","CONNECTED","10","4144"
"0","CPE","41","EDGE","277.54363754365284","true","116.58297582506455","119.48026179472768","1036.0","1540.0","true","9.405244576224949E-7","0.11999428241249954","INIT","6","7245"
"0","CPE","7","EDGE","368.10064551754726","true","119.0356818871047","119.48026179472768","1036.0","1155.0","true","5.346868303772602E-7","0.2110722594461275","INIT","3","9683"
"21","EDGE","35","EDGE","16.01207772741694","true","91.80530409886964","95.98026179472768","0.0","8085.0","true","0.0","0.0","INIT","20","0"
"35","EDGE","21","EDGE","16.01207772741694","true","91.80530409886964","95.98026179472768","0.0","8085.0","true","0.0","0.0","INIT","20","0"
"21","EDGE","22","EDGE","358.36946046033944","true","118.80297016312801","124.38026179472769","0.0","385.0","true","0.0","0.0","INIT","0","0"
"22","EDGE","21","EDGE","358.36946046033944","true","118.80297016312801","124.38026179472769","0.0","385.0","true","0.0","0.0","INIT","0","0"
"19","EDGE","30","EDGE","193.94426782489904","true","113.46988927042602","118.78026179472769","0.0","1252.0","true","0.0","0.0","INIT","4","0"
"30","EDGE","19","EDGE","193.94426782489904","true","113.46988927042602","118.78026179472769","0.0","1252.0","true","0.0","0.0","INIT","4","0"
"15","EDGE","22","EDGE","73.67304718807097","true","105.06252296747309","106.1802617947277","0.0","4620.0","true","0.0","0.0","INIT","13","0"
"22","EDGE","15","EDGE","73.67304718807097","true","105.06252296747309","106.1802617947277","0.0","4620.0","true","0.0","0.0","INIT","13","0"
"15","EDGE","48","EDGE","115.95473453487533","true","109.0021200255133","112.48026179472768","1036.0","2695.0","true","0.0","0.0","INIT","10","0"
"48","EDGE","15","EDGE","115.95473453487533","true","109.0021200255133","112.48026179472768","1036.0","2695.0","true","0.0","0.0","INIT","10","0"
"1","EDGE","22","EDGE","458.9661512729656","true","120.95196345670695","124.38026179472769","0.0","385.0","true","0.0","0.0","INIT","0","0"
"22","EDGE","1","EDGE","458.9661512729656","true","120.95196345670695","124.38026179472769","0.0","385.0","true","0.0","0.0","INIT","0","0"
"3","EDGE","48","EDGE","154.9082173042739","true","111.51783942771519","117.48026179472768","1036.0","1348.0","true","0.0","0.0","INIT","5","0"
"48","EDGE","3","EDGE","154.9082173042739","true","111.51783942771519","117.48026179472768","1036.0","1348.0","true","0.0","0.0","INIT","5","0"
"3","EDGE","41","EDGE","178.00032865471044","true","112.724766389769","117.48026179472768","0.0","1348.0","true","0.0","0.0","INIT","5","0"
"41","EDGE","3","EDGE","178.00032865471044","true","112.724766389769","117.48026179472768","0.0","1348.0","true","0.0","0.0","INIT","5","0"
"42","EDGE","45","EDGE","62.13546351670064","true","103.58314115468272","105.1802617947277","0.0","5005.0","true","0.0","0.0","INIT","14","0"
"45","EDGE","42","EDGE","62.13546351670064","true","103.58314115468272","105.1802617947277","0.0","5005.0","true","0.0","0.0","INIT","14","0"
"4","EDGE","33","EDGE","111.83584208953239","true","108.68797055020693","112.48026179472768","0.0","2695.0","true","0.0","0.0","INIT","10","0"
"33","EDGE","4","EDGE","111.83584208953239","true","108.68797055020693","112.48026179472768","0.0","2695.0","true","0.0","0.0","INIT","10","0"
"7","EDGE","50","EDGE","59.262856809579375","true","103.17200196886685","103.48026179472768","0.0","5390.0","true","0.0","0.0","INIT","15","0"
"50","EDGE","7","EDGE","59.262856809579375","true","103.17200196886685","103.48026179472768","0.0","5390.0","true","0.0","0.0","INIT","15","0"
"7","EDGE","16","EDGE","61.32268704153292","true","103.4687738370672","105.1802617947277","0.0","5005.0","true","0.0","0.0","INIT","14","0"
"16","EDGE","7","EDGE","61.32268704153292","true","103.4687738370672","105.1802617947277","0.0","5005.0","true","0.0","0.0","INIT","14","0"
"7","EDGE","41","EDGE","90.63399705380449","true","106.8621729712968","107.48026179472768","0.0","3850.0","true","0.0","0.0","INIT","12","0"
"41","EDGE","7","EDGE","90.63399705380449","true","106.8621729712968","107.48026179472768","0.0","3850.0","true","0.0","0.0","INIT","12","0"
"7","EDGE","38","EDGE","140.3991965983125","true","110.6636427592368","114.48026179472768","0.0","2310.0","true","0.0","0.0","INIT","8","0"
"38","EDGE","7","EDGE","140.3991965983125","true","110.6636427592368","114.48026179472768","0.0","2310.0","true","0.0","0.0","INIT","8","0"
"22","EDGE","28","EDGE","110.04145813146242","true","108.54747703583527","112.48026179472768","0.0","2695.0","true","0.0","0.0","INIT","10","0"
"28","EDGE","22","EDGE","110.04145813146242","true","108.54747703583527","112.48026179472768","0.0","2695.0","true","0.0","0.0","INIT","10","0"
"22","EDGE","48","EDGE","187.05611409029913","true","113.15578846731137","118.78026179472769","0.0","1252.0","true","0.0","0.0","INIT","4","0"
"48","EDGE","22","EDGE","187.05611409029913","true","113.15578846731137","118.78026179472769","0.0","1252.0","true","0.0","0.0","INIT","4","0"
"22","EDGE","35","EDGE","342.3575335440678","true","118.4059480845207","124.38026179472769","0.0","385.0","true","0.0","0.0","INIT","0","0"
"35","EDGE","22","EDGE","342.3575335440678","true","118.4059480845207","124.38026179472769","0.0","385.0","true","0.0","0.0","INIT","0","0"
"22","EDGE","23","EDGE","493.54496082328893","true","121.58288474714355","124.38026179472769","0.0","385.0","true","0.0","0.0","INIT","0","0"
"23","EDGE","22","EDGE","493.54496082328893","true","121.58288474714355","124.38026179472769","0.0","385.0","true","0.0","0.0","INIT","0","0"
"10","EDGE","45","EDGE","90.64099529177571","true","106.86284362003795","107.48026179472768","0.0","3850.0","true","0.0","0.0","INIT","12","0"
"45","EDGE","10","EDGE","90.64099529177571","true","106.86284362003795","107.48026179472768","0.0","3850.0","true","0.0","0.0","INIT","12","0"
"10","EDGE","12","EDGE","120.44244620797944","true","109.33194165680199","112.48026179472768","0.0","2695.0","true","0.0","0.0","INIT","10","0"
"12","EDGE","10","EDGE","120.44244620797944","true","109.33194165680199","112.48026179472768","0.0","2695.0","true","0.0","0.0","INIT","10","0"
"10","EDGE","17","EDGE","174.41205219383306","true","112.54788014982955","117.48026179472768","0.0","1348.0","true","0.0","0.0","INIT","5","0"
"17","EDGE","10","EDGE","174.41205219383306","true","112.54788014982955","117.48026179472768","0.0","1348.0","true","0.0","0.0","INIT","5","0"
"20","EDGE","30","EDGE","10.304150756936304","true","87.97659438808645","95.98026179472768","0.0","8085.0","true","0.0","0.0","INIT","20","0"
"30","EDGE","20","EDGE","10.304150756936304","true","87.97659438808645","95.98026179472768","0.0","8085.0","true","0.0","0.0","INIT","20","0"
"18","EDGE","31","EDGE","543.910466374856","true","122.42689862517916","124.38026179472769","0.0","385.0","true","0.0","0.0","INIT","0","0"
"31","EDGE","18","EDGE","543.910466374856","true","122.42689862517916","124.38026179472769","0.0","385.0","true","0.0","0.0","INIT","0","0"
"23","EDGE","32","EDGE","60.38365297538028","true","103.33473795826445","105.1802617947277","0.0","5005.0","true","0.0","0.0","INIT","14","0"
"32","EDGE","23","EDGE","60.38365297538028","true","103.33473795826445","105.1802617947277","0.0","5005.0","true","0.0","0.0","INIT","14","0"
"12","EDGE","45","EDGE","208.4859924935114","true","114.09788793487542","119.48026179472768","0.0","1155.0","true","0.0","0.0","INIT","3","0"
"45","EDGE","12","EDGE","208.4859924935114","true","114.09788793487542","119.48026179472768","0.0","1155.0","true","0.0","0.0","INIT","3","0"
